Step;name: no_q_coord - Train/train_success;name: no_q_coord - Train/train_success__MIN;name: no_q_coord - Train/train_success__MAX;name: no_coord_w - Train/train_success;name: no_coord_w - Train/train_success__MIN;name: no_coord_w - Train/train_success__MAX;name: inverse_mask - Train/train_success;name: inverse_mask - Train/train_success__MIN;name: inverse_mask - Train/train_success__MAX;name: true_mask - Train/train_success;name: true_mask - Train/train_success__MIN;name: true_mask - Train/train_success__MAX;name: eval - Train/train_success;name: eval - Train/train_success__MIN;name: eval - Train/train_success__MAX
10;1;1;1;0;0;0;0;0;0;1;1;1;0;0;0
20;0;0;0;0;0;0;1;1;1;1;1;1;0;0;0
30;1;1;1;0;0;0;0;0;0;2;2;2;0;0;0
40;1;1;1;0;0;0;0;0;0;1;1;1;1;1;1
51;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0
61;0;0;0;0;0;0;1;1;1;3;3;3;0;0;0
71;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1
81;0;0;0;0;0;0;0;0;0;2;2;2;1;1;1
91;0;0;0;0;0;0;2;2;2;0;0;0;1;1;1
102;0;0;0;2;2;2;0;0;0;0;0;0;0;0;0
112;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
122;0;0;0;1;1;1;0;0;0;1;1;1;1;1;1
132;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1
142;2;2;2;0;0;0;0;0;0;1;1;1;0;0;0
153;1;1;1;0;0;0;1;1;1;0;0;0;0;0;0
163;0;0;0;1;1;1;1;1;1;1;1;1;0;0;0
173;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
183;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0
193;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
204;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1
214;1;1;1;0;0;0;1;1;1;1;1;1;0;0;0
224;2;2;2;0;0;0;1;1;1;0;0;0;3;3;3
234;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1
244;0;0;0;1;1;1;2;2;2;2;2;2;0;0;0
255;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0
265;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0
275;0;0;0;0;0;0;0;0;0;2;2;2;2;2;2
285;2;2;2;1;1;1;0;0;0;0;0;0;0;0;0
295;1;1;1;0;0;0;1;1;1;1;1;1;1;1;1
306;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1
316;0;0;0;0;0;0;0;0;0;2;2;2;1;1;1
326;0;0;0;0;0;0;1;1;1;0;0;0;2;2;2
336;1;1;1;1;1;1;0;0;0;1;1;1;0;0;0
346;1;1;1;0;0;0;0;0;0;3;3;3;0;0;0
357;2;2;2;1;1;1;0;0;0;1;1;1;0;0;0
367;2;2;2;0;0;0;1;1;1;1;1;1;3;3;3
377;0;0;0;1;1;1;2;2;2;0;0;0;3;3;3
387;0;0;0;0;0;0;0;0;0;2;2;2;1;1;1
397;0;0;0;1;1;1;1;1;1;1;1;1;0;0;0
408;0;0;0;0;0;0;2;2;2;1;1;1;0;0;0
418;0;0;0;1;1;1;1;1;1;0;0;0;0;0;0
428;0;0;0;1;1;1;2;2;2;0;0;0;1;1;1
438;1;1;1;2;2;2;1;1;1;1;1;1;1;1;1
448;3;3;3;3;3;3;3;3;3;2;2;2;3;3;3
458;0;0;0;1;1;1;0;0;0;3;3;3;1;1;1
468;1;1;1;1;1;1;0;0;0;2;2;2;1;1;1
478;0;0;0;0;0;0;1;1;1;1;1;1;2;2;2
488;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1
498;0;0;0;1;1;1;2;2;2;3;3;3;1;1;1
509;1;1;1;0;0;0;0;0;0;1;1;1;5;5;5
519;1;1;1;0;0;0;3;3;3;3;3;3;0;0;0
529;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1
539;2;2;2;3;3;3;2;2;2;3;3;3;2;2;2
549;2;2;2;1;1;1;0;0;0;1;1;1;0;0;0
560;3;3;3;1;1;1;1;1;1;3;3;3;2;2;2
570;0;0;0;0;0;0;2;2;2;3;3;3;1;1;1
580;1;1;1;1;1;1;0;0;0;2;2;2;2;2;2
590;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1
600;1;1;1;0;0;0;2;2;2;0;0;0;2;2;2
611;5;5;5;1;1;1;0;0;0;0;0;0;4;4;4
621;2;2;2;0;0;0;2;2;2;1;1;1;0;0;0
631;2;2;2;1;1;1;1;1;1;2;2;2;0;0;0
641;1;1;1;1;1;1;0;0;0;3;3;3;1;1;1
651;1;1;1;0;0;0;1;1;1;3;3;3;0;0;0
662;2;2;2;0;0;0;1;1;1;4;4;4;3;3;3
672;5;5;5;1;1;1;4;4;4;1;1;1;3;3;3
682;2;2;2;0;0;0;1;1;1;3;3;3;4;4;4
692;5;5;5;0;0;0;3;3;3;2;2;2;0;0;0
702;2;2;2;0;0;0;2;2;2;2;2;2;4;4;4
713;7;7;7;0;0;0;2;2;2;2;2;2;2;2;2
723;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
733;5;5;5;0;0;0;2;2;2;1;1;1;3;3;3
743;5;5;5;1;1;1;2;2;2;4;4;4;0;0;0
753;1;1;1;0;0;0;0;0;0;5;5;5;1;1;1
764;5;5;5;1;1;1;0;0;0;2;2;2;4;4;4
774;1;1;1;2;2;2;2;2;2;4;4;4;2;2;2
784;7;7;7;0;0;0;3;3;3;0;0;0;1;1;1
794;2;2;2;1;1;1;0;0;0;2;2;2;6;6;6
804;1;1;1;1;1;1;1;1;1;3;3;3;3;3;3
815;2;2;2;1;1;1;1;1;1;6;6;6;2;2;2
825;3;3;3;0;0;0;2;2;2;5;5;5;5;5;5
835;4;4;4;2;2;2;0;0;0;0;0;0;3;3;3
845;3;3;3;0;0;0;1;1;1;5;5;5;1;1;1
855;3;3;3;1;1;1;3;3;3;2;2;2;2;2;2
866;4;4;4;0;0;0;2;2;2;2;2;2;3;3;3
876;5;5;5;2;2;2;1;1;1;2;2;2;5;5;5
886;3;3;3;0;0;0;2;2;2;1;1;1;5;5;5
896;2;2;2;0;0;0;2;2;2;1;1;1;2;2;2
906;2;2;2;3;3;3;3;3;3;2;2;2;4;4;4
917;2;2;2;1;1;1;1;1;1;4;4;4;0;0;0
927;7;7;7;0;0;0;3;3;3;2;2;2;3;3;3
937;3;3;3;1;1;1;6;6;6;5;5;5;5;5;5
947;2;2;2;0;0;0;3;3;3;2;2;2;5;5;5
957;4;4;4;3;3;3;2;2;2;5;5;5;4;4;4
967;4;4;4;4;4;4;2;2;2;3;3;3;2;2;2
977;2;2;2;0;0;0;3;3;3;6;6;6;4;4;4
987;2;2;2;1;1;1;2;2;2;3;3;3;4;4;4
997;3;3;3;2;2;2;1;1;1;2;2;2;4;4;4
1007;2;2;2;4;4;4;3;3;3;2;2;2;4;4;4
1018;4;4;4;1;1;1;2;2;2;3;3;3;3;3;3
1028;5;5;5;4;4;4;1;1;1;0;0;0;2;2;2
1038;1;1;1;3;3;3;0;0;0;3;3;3;1;1;1
1048;3;3;3;4;4;4;3;3;3;4;4;4;2;2;2
1058;3;3;3;2;2;2;5;5;5;2;2;2;4;4;4
1069;3;3;3;3;3;3;4;4;4;3;3;3;4;4;4
1079;7;7;7;2;2;2;1;1;1;3;3;3;3;3;3
1089;3;3;3;1;1;1;1;1;1;3;3;3;1;1;1
1099;1;1;1;1;1;1;3;3;3;5;5;5;2;2;2
1109;2;2;2;0;0;0;5;5;5;1;1;1;2;2;2
1120;2;2;2;4;4;4;7;7;7;2;2;2;2;2;2
1130;3;3;3;3;3;3;0;0;0;2;2;2;0;0;0
1140;4;4;4;2;2;2;2;2;2;7;7;7;3;3;3
1150;3;3;3;3;3;3;3;3;3;5;5;5;4;4;4
1160;3;3;3;4;4;4;2;2;2;1;1;1;4;4;4
1171;2;2;2;4;4;4;4;4;4;3;3;3;3;3;3
1181;2;2;2;5;5;5;4;4;4;3;3;3;3;3;3
1191;5;5;5;4;4;4;5;5;5;3;3;3;2;2;2
1201;1;1;1;5;5;5;3;3;3;6;6;6;2;2;2
1211;4;4;4;2;2;2;3;3;3;4;4;4;4;4;4
1222;4;4;4;4;4;4;3;3;3;3;3;3;6;6;6
1232;1;1;1;4;4;4;6;6;6;2;2;2;3;3;3
1242;3;3;3;2;2;2;1;1;1;5;5;5;5;5;5
1252;4;4;4;3;3;3;2;2;2;3;3;3;3;3;3
1262;4;4;4;3;3;3;2;2;2;8;8;8;3;3;3
1273;4;4;4;3;3;3;2;2;2;5;5;5;6;6;6
1283;4;4;4;2;2;2;7;7;7;3;3;3;2;2;2
1293;3;3;3;1;1;1;1;1;1;2;2;2;5;5;5
