Step;name: no_q_coord - Train/train_Tot_reward;name: no_q_coord - Train/train_Tot_reward__MIN;name: no_q_coord - Train/train_Tot_reward__MAX;name: no_coord_w - Train/train_Tot_reward;name: no_coord_w - Train/train_Tot_reward__MIN;name: no_coord_w - Train/train_Tot_reward__MAX;name: inverse_mask - Train/train_Tot_reward;name: inverse_mask - Train/train_Tot_reward__MIN;name: inverse_mask - Train/train_Tot_reward__MAX;name: true_mask - Train/train_Tot_reward;name: true_mask - Train/train_Tot_reward__MIN;name: true_mask - Train/train_Tot_reward__MAX;name: eval - Train/train_Tot_reward;name: eval - Train/train_Tot_reward__MIN;name: eval - Train/train_Tot_reward__MAX
62;"17,52";"17,52";"17,52";"17,52";"17,52";"17,52";"17,52";"17,52";"17,52";"17,52";"17,52";"17,52";190.875;"16,86";24.740.000.000.000.000
118;;;;;;;;;;;;;30.939.999.999.999.900;30.939.999.999.999.900;30.939.999.999.999.900
125;;;;;;;;;;;;;23.200.000.000.000.000;23.200.000.000.000.000;23.200.000.000.000.000
126;69.399.999.999.999.900;69.399.999.999.999.900;69.399.999.999.999.900;0;0;0;"14,78";"14,78";"14,78";8.379.999.999.999.990;8.379.999.999.999.990;8.379.999.999.999.990;68.500.000.000.000.000;0;"8,22"
182;;;;;;;;;;;;;"22,96";"22,96";"22,96"
189;0;0;0;0;0;0;"5,46";"5,46";"5,46";0;0;0;7.082.857.142.857.140;0;"22,28"
245;;;;;;;;;;;;;0;0;0
252;11.129.999.999.999.900;"7,08";"15,18";0;0;0;"7,08";"7,08";"7,08";0;0;0;7.231.428.571.428.570;0;15.219.999.999.999.900
308;;;;;;;;;;;;;15.180.000.000.000.000;15.180.000.000.000.000;15.180.000.000.000.000
315;0;0;0;"5,62";"5,62";"5,62";0;0;0;0;0;0;8.134.285.714.285.710;"5,6";22.299.999.999.999.900
371;;;;;;;;;;;;;17.400.000.000.000.000;17.400.000.000.000.000;17.400.000.000.000.000
378;;;;;;;;;;;;;"9,1";"9,1";"9,1"
379;0;0;0;0;0;0;0;0;0;0;0;0;35.533.333.333.333.300;0;"21,32"
435;;;;;;;;;;;;;"14,62";"14,62";"14,62"
442;0;0;0;0;0;0;0;0;0;"15,08";"15,08";"15,08";5.137.142.857.142.850;0;"19,1"
498;;;;;;;;;;;;;"7,88";"7,88";"7,88"
505;"11,32";"11,32";"11,32";"17,48";"17,48";"17,48";"6,38";"6,38";"6,38";0;0;0;13.485.714.285.714.200;0;"17,78"
561;;;;;;;;;;;;;7.779.999.999.999.990;7.779.999.999.999.990;7.779.999.999.999.990
568;"2,87";0;"5,74";0;0;0;"5,92";"5,92";"5,92";"7,52";"7,52";"7,52";31.714.285.714.285.700;0;"16,96"
615;;;;;;;;;;;;;"26,34";"26,34";"26,34"
624;;;;;;;;;;;;;"11,52";"11,52";"11,52"
632;0;0;0;0;0;0;0;0;0;"7,2";"7,2";"7,2";14.966.666.666.666.600;0;"8,98"
678;;;;;;;;;;;;;"6,86";"6,86";"6,86"
688;;;;;;;;;;;;;"5,62";"5,62";"5,62"
693;;;;;;;;;;"30,7";"30,7";"30,7";;;
695;0;0;0;0;0;0;"5,8";"5,8";"5,8";;;;7.993.333.333.333.330;"5,8";"18,96"
741;;;;;;;;;;;;;"8,48";"8,48";"8,48"
751;;;;;;;;;;;;;9.219.999.999.999.990;9.219.999.999.999.990;9.219.999.999.999.990
757;;;;;;;;;;0;0;0;;;
758;"2,87";0;"5,74";0;0;0;0;0;0;;;;0;0;0
804;;;;;;;;;;;;;11.120.000.000.000.000;11.120.000.000.000.000;11.120.000.000.000.000
814;;;;;;;;;;;;;0;0;0
820;;;;;;;;;;"7,7";"7,7";"7,7";;;
821;"10,26";"6,78";"13,74";"13,68";"13,68";"13,68";0;0;0;;;;15.766.666.666.666.600;0;"9,46"
868;;;;;;;;;;;;;"16,34";"16,34";"16,34"
877;;;;;;;;;;;;;"7,1";"7,1";"7,1"
883;;;;;;;;;;"17,4";"17,4";"17,4";;;
